T,simNr,kernel,bandwidth,a,M1,S_T,data_reward,optimal_reward,regret
100,0,gau,1/sqrt(T),1e-06,1e-06,28.92000000000172,14.035601583796883,16.498228268827916,2.462626685031033
100,1,gau,1/sqrt(T),1e-06,1e-06,22.870000000000775,6.352980372006812,9.337599273382217,2.9846189013754056
100,2,gau,1/sqrt(T),1e-06,1e-06,23.430000000000863,12.478093192704572,17.621984631246665,5.143891438542093
100,3,gau,1/sqrt(T),1e-06,1e-06,21.030000000000488,11.944246828564388,16.226599885956936,4.282353057392548
100,4,gau,1/sqrt(T),1e-06,1e-06,20.300000000000374,10.60803063521267,18.851985135236816,8.243954500024147
100,5,gau,1/sqrt(T),1e-06,1e-06,24.910000000001094,10.441708289712752,15.240548044253252,4.7988397545405
100,6,gau,1/sqrt(T),1e-06,1e-06,21.920000000000627,14.472415536833577,17.765080581316724,3.2926650444831473
100,7,gau,1/sqrt(T),1e-06,1e-06,20.940000000000474,11.180344085538135,17.649536638456112,6.469192552917978
100,8,gau,1/sqrt(T),1e-06,1e-06,22.230000000000675,12.155224728030303,16.30816733672125,4.152942608690948
100,9,gau,1/sqrt(T),1e-06,1e-06,22.540000000000724,12.602811054320997,19.3499243362608,6.747113281939802
200,0,gau,1/sqrt(T),1e-06,1e-06,42.840000000000046,26.784604168251125,34.13623390104349,7.3516297327923645
200,1,gau,1/sqrt(T),1e-06,1e-06,40.66000000000048,31.047388821380558,35.64933721523994,4.601948393859381
200,2,gau,1/sqrt(T),1e-06,1e-06,37.570000000001095,26.988269890934415,37.77479416257,10.786524271635582
200,3,gau,1/sqrt(T),1e-06,1e-06,40.25000000000056,22.915455784980114,27.644460488122302,4.729004703142188
200,4,gau,1/sqrt(T),1e-06,1e-06,33.050000000001994,27.18585231545705,34.26288058637224,7.077028270915189
200,5,gau,1/sqrt(T),1e-06,1e-06,36.68000000000127,31.47233537009697,40.12108506188248,8.648749691785511
200,6,gau,1/sqrt(T),1e-06,1e-06,33.89000000000183,25.39056408318307,29.66098006967899,4.2704159864959195
200,7,gau,1/sqrt(T),1e-06,1e-06,35.250000000001556,24.66377086356732,34.85890020775108,10.195129344183758
200,8,gau,1/sqrt(T),1e-06,1e-06,37.28000000000115,39.91521575987379,45.145721346135225,5.230505586261437
200,9,gau,1/sqrt(T),1e-06,1e-06,36.610000000001286,25.078309183992786,26.66065395578431,1.5823447717915222
300,0,gau,1/sqrt(T),1e-06,1e-06,49.94999999999863,43.55612701208555,51.73799266109313,8.181865649007584
300,1,gau,1/sqrt(T),1e-06,1e-06,44.46999999999972,34.230813818894426,44.264608448079755,10.03379462918533
300,2,gau,1/sqrt(T),1e-06,1e-06,45.96999999999942,46.24665400688642,54.61758917596904,8.370935169082614
300,3,gau,1/sqrt(T),1e-06,1e-06,48.619999999998896,53.90008259246116,61.88009937682701,7.980016784365851
