T,s,KL
100,0,9.439388431416022e-05
100,1,0.021099841842735445
100,2,0.12704904094147615
100,3,-0.000823517157479719
100,4,-0.06826981134656629
100,5,0.0239719152142333
100,6,-0.057638524012422886
100,7,-0.062162189267427045
100,8,0.008343784462319238
100,9,-0.03472084821451827
100,10,0.024176259882868208
100,11,-0.011154677223907073
100,12,-0.05629334851206129
100,13,0.016566928584543332
100,14,-0.03178155349610715
100,15,0.05200915264551857
100,16,0.05127335154418202
100,17,0.0004940266630344538
100,18,-0.0108435966524925
100,19,0.07299751440427868
100,20,0.026704586131838997
100,21,0.022131159787375152
100,22,0.009353782649415396
100,23,-0.06956606652218499
100,24,-0.030272015142667478
100,25,-0.020149864601933583
100,26,-0.019251279269208294
100,27,-0.027487393411136048
100,28,-0.010210748037111415
100,29,-0.03586944440010321
100,30,-0.07876806790835868
100,31,-0.06044456534186577
100,32,-0.02760549438369824
100,33,-0.03427849079423622
100,34,-0.025955264442580676
100,35,-0.03960490532805207
100,36,-0.0701338309039756
100,37,0.033847341994587256
100,38,-0.00304348996884777
100,39,-0.05847918085271205
100,40,-0.022469245570147685
100,41,0.031142320394197582
100,42,0.00478109627186745
100,43,-0.054121599356954465
100,44,0.011689913474508354
100,45,-0.019871748541774
100,46,0.08030588648104038
100,47,-0.05408113765364854
100,48,-0.01840651209633542
100,49,-0.005872689291478729
200,0,-0.005091155319266466
200,1,0.020450795568615197
200,2,-0.025626827957487355
200,3,-0.01174424822747029
200,4,-0.02058561845125218
200,5,0.008846934162464432
200,6,0.01576035139633112
200,7,0.03161352118787931
200,8,-0.03290344113777606
200,9,0.03421915710238313
200,10,0.03985221825352442
200,11,-0.011342045163458122
200,12,-0.020381436036068193
200,13,-0.02991422320096415
200,14,0.010891804661336862
200,15,0.010444520931235182
200,16,-0.011331691567941574
200,17,0.006507116980333771
200,18,0.03731206595223006
200,19,-0.026465119942279652
200,20,0.0014962266817712812
200,21,0.02547831890226894
200,22,-0.028704577487082574
200,23,0.04545901146286857
200,24,0.04243214626281272
200,25,-0.003921385397489279
200,26,-0.005175149910866292
200,27,0.06358912508380532
