T,s,MISE
50,0,0.004595436434904991
50,1,0.0031886339625456285
50,2,0.009687750407565334
50,3,0.015548777187931209
50,4,0.015224258938181362
50,5,0.044168273360071196
50,6,0.009150927245090559
50,7,0.026465047725357953
50,8,0.007717267871996208
50,9,0.02130112239234859
50,10,0.02228917604233064
50,11,0.003686154542787454
50,12,0.04876332527655489
50,13,0.0136897290438137
50,14,0.022586134910922293
50,15,0.025585057194904618
50,16,0.03152579717952269
50,17,0.01482376490957038
50,18,0.027420407010399304
50,19,0.037090240463786214
50,20,0.012647234400692205
50,21,0.00876259498404049
50,22,0.020740467847492724
50,23,0.06490191134635097
50,24,0.014309568362957166
50,25,0.01126957690520786
50,26,0.015023665710175547
50,27,0.008937652577880383
50,28,0.0056406656030379195
50,29,0.007402586464263172
50,30,0.01092560113713198
50,31,0.02397670607520846
50,32,0.04271409354545354
50,33,0.023811178074452093
50,34,0.029879470681732592
50,35,0.009193768128776479
50,36,0.03928348911560033
50,37,0.014634301324931024
50,38,0.03262057629913456
50,39,0.014248883418428143
50,40,0.024246986655276533
50,41,0.005768182733526603
50,42,0.005988866828354767
50,43,0.02434797002167072
50,44,0.018702359677445973
50,45,0.011569436947412222
50,46,0.015549506520783001
50,47,0.02018867649374764
50,48,0.1054307664802503
50,49,0.00605377886127192
100,0,0.02745268881587272
100,1,0.022132639511809337
100,2,0.004708569546446958
100,3,0.01068931504533757
100,4,0.017853540890523774
100,5,0.020274139397940844
100,6,0.004814264223920551
100,7,0.003920860493989702
100,8,0.004582797281538597
100,9,0.008461571943456968
100,10,0.020681485538055162
100,11,0.006160783084456557
100,12,0.008389199652222781
100,13,0.0017297731155124527
100,14,0.0034252353863528967
100,15,0.011349739726674631
100,16,0.01304483065362765
100,17,0.040565070803115166
100,18,0.0044562048701274545
100,19,0.021303784035272808
100,20,0.009667181590165252
100,21,0.007359659667407484
100,22,0.011219661397226997
100,23,0.005927469477691726
100,24,0.006452752821761867
100,25,0.00952330366849831
100,26,0.018827587732120583
100,27,0.003835595705682305
100,28,0.022560270861270038
100,29,0.011534995352161856
100,30,0.015123503237897701
100,31,0.00524692961532937
100,32,0.03368056911581772
100,33,0.04817227059213739
100,34,0.008926044173982873
100,35,0.007324800077942876
100,36,0.007998500584290696
100,37,0.012247961089836381
100,38,0.011414880718786083
100,39,0.01047949214283416
100,40,0.007009885318887685
100,41,0.006575517309991396
100,42,0.020916027256102285
100,43,0.005425850477707758
100,44,0.030813799694070842
100,45,0.001607597588642465
100,46,0.010064160785958199
100,47,0.008314801770523142
100,48,0.08918949318804352
100,49,0.0037596151441218065
150,0,0.009231801283118181
150,1,0.007109289363788549
150,2,0.007415814727390866
150,3,0.024525447036353887
150,4,0.0055168126691012365
150,5,0.002801114488158282
150,6,0.006187146832288682
150,7,0.013918969641675688
150,8,0.004939207534660554
150,9,0.002147254359074559
150,10,0.004685638529227252
150,11,0.0048977312733897395
150,12,0.03127167907165523
150,13,0.00523250662920692
150,14,0.013726871584424873
150,15,0.010906910357555904
150,16,0.0019350926964984015
150,17,0.007594088543981746
150,18,0.0020735992916496937
150,19,0.004368287564544433
150,20,0.013497449802361521
150,21,0.008170499642595055
150,22,0.0027084053119103067
150,23,0.003974231655762615
150,24,0.022216315506975844
150,25,0.006502191444681316
150,26,0.00373605552732151
150,27,0.028606892368730284
150,28,0.00573566980200258
150,29,0.00573757190382114
150,30,0.003031513542618305
150,31,0.006213114052783234
150,32,0.009993899454991144
150,33,0.007259367499917659
150,34,0.0062559926599475586
150,35,0.0054783642986237216
150,36,0.0025179891082737133
150,37,0.008446368999635174
150,38,0.004213832632630413
150,39,0.0073443575882647895
150,40,0.011031995670637777
150,41,0.006817651828839244
150,42,0.006836265432307602
150,43,0.014172115923180423
150,44,0.008808069393037181
150,45,0.013063933520778954
150,46,0.006464576544468987
150,47,0.01421344945885257
150,48,0.009901712131233089
150,49,0.004757201669863049
200,0,0.002539807921273519
200,1,0.00551506594679575
200,2,0.005687434955345402
200,3,0.01615820750577658
200,4,0.006074248356110748
200,5,0.0029675511778144838
200,6,0.006530085599483043
200,7,0.01641784561120044
200,8,0.011836320567256564
200,9,0.003831582302150327
200,10,0.0014494772783403308
200,11,0.007412603477532127
200,12,0.004150375588572986
200,13,0.004020029520998729
200,14,0.0012731381430867023
200,15,0.00514775410592454
200,16,0.0036123776863936086
200,17,0.03013364667109847
200,18,0.0037003447333199824
200,19,0.008217694200633927
200,20,0.003019319002785877
200,21,0.0020333620604787387
200,22,0.004859062984393982
200,23,0.003048468836101769
200,24,0.009910909389257608
200,25,0.0017270556917250179
200,26,0.010056167251635295
200,27,0.002140892619319408
200,28,0.004073030514403756
200,29,0.00849623739950057
200,30,0.0022296975509576134
200,31,0.023280873460859372
200,32,0.01174201308855973
200,33,0.008290244528144315
200,34,0.0071284658479949595
200,35,0.005293537927291196
200,36,0.004879452454898762
200,37,0.01752952574271987
200,38,0.004424835985648114
200,39,0.008534722940153923
200,40,0.0028096829353251532
